word,count
yer,13222
intention,13222
stephen,13222
intelligence,13222
baby,13200
contact,13200
heavens,13200
attached,13178
delightful,13178
joined,13178
event,13178
laurie,13156
shade,13156
stretched,13156
sigh,13134
judgment,13112
anywhere,13112
author,13112
stick,13090
add,13068
troops,13068
shining,13068
troy,13068
advance,13046
roof,13046
reader,13024
cheek,13024
solemn,13002
paying,13002
somebody,13002
italy,13002
gaze,13002
foolish,12980
territory,12958
spare,12936
odd,12936
wedding,12914
amongst,12914
showing,12914
mountain,12892
hers,12870
bottle,12870
stepped,12848
stream,12848
violent,12848
patient,12848
goodness,12826
title,12804
murmured,12804
alexander,12804
ships,12782
consent,12782
dread,12782
proof,12760
drunk,12760
leaning,12760
shake,12760
cat,12738
assistance,12738
fourth,12716
becoming,12716
sold,12716
ruin,12694
needed,12694
aloud,12694
van,12694
labour,12672
explained,12672
immediate,12672
usually,12650
trial,12650
edge,12650
jack,12650
hidden,12650
height,12628
conditions,12628
awake,12628
follows,12628
everywhere,12628
choice,12628
returning,12628
temple,12628
mission,12606
admit,12606
acquainted,12584
secure,12584
calls,12584
progress,12584
alexandrovitch,12562
fellows,12540
cette,12540
feared,12540
committed,12518
parents,12518
fought,12518
hamlet,12496
retired,12496
raise,12474
fury,12474
pushed,12474
religious,12452
revenge,12452
animal,12452
sank,12452
brief,12430
widow,12430
senses,12430
shoes,12430
ivanovitch,12430
yield,12430
locked,12408
waters,12364
stern,12364
storm,12364
highest,12342
dozen,12342
handkerchief,12342
vessel,12342
folk,12342
failed,12342
governor,12320
process,12320
earnest,12298
mistaken,12298
wherein,12298
relief,12298
philosophy,12298
collection,12298
upstairs,12298
turns,12298
brothers,12298
deeds,12276
interested,12254
setting,12254
plus,12254
stage,12232
anxiety,12232
utter,12232
sum,12210
guess,12210
amid,12210
named,12210
ride,12210
bones,12210
wings,12210
accompanied,12188
antony,12188
sorts,12188
compliance,12166
wasn,12166
willing,12166
built,12166
whisper,12144
driven,12144
image,12144
fled,12144
whatsoever,12122
lad,12122
stupid,12122
prepare,12100
tear,12100
companions,12078
british,12078
stepan,12078
comfortable,12056
arkadyevitch,12056
tonight,12056
papa,12034
lawyer,12034
louis,12034
directed,12034
refuse,12034
beard,12012
active,12012
regarded,12012
victory,12012
tout,12012
highly,11990
superior,11990
astonishment,11990
wet,11990
immense,11990
upper,11968
extreme,11946
created,11946
touching,11902
porter,11902
approaching,11902
final,11902
cook,11880
entering,11880
woe,11858
possibility,11858
physical,11858
temper,11836
apply,11836
pope,11814
profound,11814
produce,11814
copperfield,11814
whilst,11814
grant,11814
level,11814
faithful,11814
stared,11814
capable,11792
flat,11792
hang,11792
citizen,11770
custom,11770
eager,11770
younger,11770
ghost,11770
sofa,11770
luck,11770
doesn,11770
fifteen,11748
mile,11748
escaped,11748
eternal,11726
sees,11726
han,11704
bar,11704
bade,11704
counsel,11704
consciousness,11704
signs,11682
military,11682
regular,11682
jew,11682
singular,11682
bye,11682
eustacia,11682
base,11682
dignity,11660
drinking,11660
shadows,11660
foreign,11660
friendship,11660
rules,11616
increased,11616
consideration,11594
delay,11594
gates,11594
seeking,11594
conclusion,11594
wholly,11594
parted,11594
destroyed,11572
attend,11572
pointing,11572
volunteers,11572
requirements,11572
energy,11572
continually,11572
pace,11550
flying,11550
nodded,11550
centre,11550
foul,11550
brutus,11550
breaking,11550
ignorant,11528
sacrifice,11506
tied,11506
raising,11506
careful,11484
accordance,11484
fancied,11484
mounted,11484
chose,11462
comme,11462
closely,11462
proposed,11462
constant,11440
cries,11440
distress,11440
american,11440
slightly,11440
daily,11440
flung,11418
practice,11418
martin,11418
admiration,11418
shield,11418
remarkable,11418
figures,11418
weep,11418
knee,11396
sore,11396
mountains,11396
reality,11396
bloody,11396
disposed,11396
aged,11374
disposition,11374
cloth,11374
cup,11374
press,11374
glorious,11374
recovered,11330
ahab,11330
plainly,11330
princes,11330
rolled,11308
dancing,11308
endure,11308
fairly,11308
demand,11308
hid,11286
marks,11286
nights,11286
dora,11286
eating,11286
related,11286
pipe,11286
accustomed,11286
delicate,11286
cheerful,11264
elder,11264
suggested,11264
spake,11264
partly,11242
peasant,11242
traddles,11242
mystery,11220
discover,11220
dawn,11220
cart,11220
fix,11220
remark,11220
madeleine,11220
resolution,11220
abroad,11220
treated,11198
fame,11176
assured,11176
pursued,11154
throughout,11154
native,11154
thoroughly,11154
gay,11154
waves,11132
ben,11132
guide,11132
weeping,11132
